Word,Location
sail,"Page 9, Line ~11"
that,"Page 9, Line ~11"
produce,"Page 9, Line ~12"
fish,"Page 9, Line ~12"
that,"Page 9, Line ~12"
can,"Page 9, Line ~13"
brave,"Page 9, Line ~13"
weather,"Page 9, Line ~13"
very,"Page 9, Line ~14"
where,"Page 9, Line ~14"
capital,"Page 9, Line ~15"
process,"Page 9, Line ~15"
become,"Page 9, Line ~16"
more,"Page 9, Line ~16"
unit,"Page 9, Line ~16"
can,"Page 9, Line ~16"
produce,"Page 9, Line ~16"
that,"Page 9, Line ~17"
never,"Page 9, Line ~17"
possible,"Page 9, Line ~17"
economy,"Page 9, Line ~17"
basic,"Page 9, Line ~18"
capital,"Page 9, Line ~18"
this,"Page 9, Line ~18"
possible,"Page 9, Line ~19"
exchange,"Page 9, Line ~19"
allow,"Page 9, Line ~20"
direct,"Page 9, Line ~21"
unit,"Page 9, Line ~21"
account,"Page 9, Line ~22"
allow,"Page 9, Line ~22"
history,"Page 9, Line ~22"
various,"Page 9, Line ~23"
play,"Page 9, Line ~23"
current,"Page 9, Line ~26"
almost,"Page 9, Line ~26"
use,"Page 9, Line ~27"
legal,"Page 9, Line ~27"
step,"Page 9, Line ~27"
advance,"Page 9, Line ~27"
history,"Page 9, Line ~29"
that,"Page 9, Line ~30"
have,"Page 9, Line ~30"
able,"Page 9, Line ~31"
that,"Page 9, Line ~32"
make,"Page 9, Line ~32"
good,"Page 9, Line ~32"
that,"Page 9, Line ~32"
make,"Page 9, Line ~32"
only,"Page 9, Line ~33"
this,"Page 9, Line ~33"
place,"Page 9, Line ~33"
can,"Page 9, Line ~33"
then,"Page 9, Line ~33"
move,"Page 9, Line ~34"
what,"Page 9, Line ~34"
next,"Page 9, Line ~35"
chapter,"Page 9, Line ~35"
history,"Page 9, Line ~35"
obscure,"Page 9, Line ~36"
that,"Page 9, Line ~36"
have,"Page 9, Line ~36"
used,"Page 9, Line ~36"
glass,"Page 9, Line ~38"
cattle,"Page 9, Line ~38"
salt,"Page 9, Line ~38"
media,"Page 10, Line ~1"
exchange,"Page 10, Line ~1"
during,"Page 10, Line ~2"
one,"Page 10, Line ~2"
